Symbol,Name
0XFD,AMUNDI ETF FTSE ITALIA PIR UCITS ET AMUNDI ETF FTSE ITALIA PIR UCITS ETF DR
0Y37,UBS (IRL) ETF PLC-MSCI WORLD UCITS UBS (IRL) ETF PLC-MSCI WORLD UCITS ETF (
0HDN,UBS ETF-MSCI JAPAN SOC RESPONSIBLE UBS ETF-MSCI JAPAN SOC RESPONSIBLE U ETF
0E26,UBS ETF-MSCI UNITED KINGDOM UCITS E UBS ETF - MSCI UK UCITS ETF (SGDH) A-ACC
0Y4E,UBS (IRL) ETF PLC - MSCI USA UCITS UBS (IRL) ETF PLC - MSCI USA UCITS ETF (
0VPP,ISHARES SMI (CH) ISHARES SMI  ETF (CH) ETF
0JF4,ISHARES MSCI MEXICO ETF ISHARES MSCI MEXICO ETF
0E0L,UBS ETF-MSCI SWITZERLAND 20/35 UCIT UBS ETF-MSCI SWITZERLAND 20/35 UCITS ETF
0XE2,AMUNDI ETF MSCI EUROPE BUYBACK UCIT AMUNDI ETF MSCI EUROPE BUYBACK UCITS ETF
0HDS,UBS ETF - MSCI EMU SOC RESPONSIBLE UBS ETF - MSCI EMU SOC RESPONSIBLE U ETF
0MW8,UBS ETF-MSCI SWITZERLAND 20/35 UCIT UBS ETF-MSCI SWITZERLAND 20/35 UCITS ETF
0HDT,UBS ETF - MSCI EMU SOC RESPONSIBLE UBS ETF - MSCI EMU SOC RESPONSIBLE U ETF
0Y7Z,UBS (IRL) ETF PLC - MSCI UK IMI SR UBS (IRL) ETF PLC - MSCI UK IMI SR U ETF
0HCN,UBS ETF-MSCI SWITZERLAND 20/35 UCIT UBS ETF-MSCI SWITZERLAND 20/35 UCITS ETF
0HB3,UBS ETF-MSCI JAPAN H TO EUR UCITS E UBS ETF-MSCI JAPAN H TO EUR UCITS ETF (E
0HDL,UBS ETF-MSCI JAPAN SOC RESPONSIBLE UBS ETF-MSCI JAPAN SOC RESPONSIBLE U ETF
0XAA,AMUNDI ETF MSCI EUROPE EX EMU UCITS AMUNDI ETF MSCI EUROPE EX EMU UCITS ETF
0HE1,UBS ETF - MSCI EMU SOC RESPONSIBLE UBS ETF - MSCI EMU SOC RESPONSIBLE U ETF
0DYU,OSSIAM ETF RISK WEIGHTED ENHANCED C OSSIAM ETF RISK WEIGHTED ENHANCED COMM T
0IY8,GLOBAL X INTERNET OF THINGS ETF GLOBAL X INTERNET OF THINGS ETF
0Y36,UBS (IRL) ETF PLC-SOLACTIVEGLPUREGO UBS (IRL) ETF PLC-SOLACTIVEGLPUREGOLDMIN
0WA0,LYXOR UCITS ETF MSCI MALAYSIA C-EUR LYXOR UCITS ETF MSCI MALAYSIA C-EUR ETF
0L13,SPDR S&P METALS & MINING ETF SPDR S&P METALS & MINING ETF
0LMW,VANGUARD HEALTH CARE ETF VANGUARD HEALTH CARE INDEX FUND ETF
0DX0,COMSTAGE SHORTDAX TR UCITS ETF COMSTAGE SHORTDAX TR UCITS ETF
0XA5,AMUNDI ETF STOXX EUROPE 50 UCITS ET AMUNDI ETF STOXX EUROPE 50 UCITS ETF
0HDM,UBS ETF-MSCI JAPAN SOC RESPONSIBLE UBS ETF-MSCI JAPAN SOC RESPONSIBLE U ETF
0WB0,AMUNDI ETF MSCI WORLD EX EMU UCITS AMUNDI ETF MSCI WORLD EX EMU UCITS ETF -
0HBG,COMSTAGE FTSE CHINA A50 UCITS ETF COMSTAGE FTSE CHINA A50 UCITS ETF
0JEW,ISHARES MSCI SOUTH KOREA ETF ISHARES MSCI SOUTH KOREA ETF
0Y43,UBS (IRL) ETF PLC - MSCI USA UCITS UBS (IRL) ETF PLC - MSCI USA UCITS ETF (
0AO9,UBS ETF (CH)-SBI  DOMEST.SW. PFANDB UBS ETF (CH)-SBI  DOMEST.SW. PFANDBR. 5-
0E1E,COMSTAGE LEVDAX X2 TR UCITS ETF COMSTAGE LEVDAX X2 TR UCITS ETF
0ML3,ZKB GOLD ETF AA CHF ZKB GOLD ETF AAH CHF
0MWL,THINK TOTAL MARKET UCITS ETF DEFENS THINK TOTAL MARKET UCITS ETF DEFENSIEF
0H6N,ALPS SPROTT GOLD MINERS ETF ALPS SPROTT GOLD MINERS ETF
0H7J,COMSTAGE MSCI EUROPE TRN UCITS ETF COMSTAGE MSCI EUROPE TRN UCITS ETF
0Y06,SOURCE MSCI EUROPE VALUE ETF SOURCE MSCI EUROPE VALUE ETF
0VRA,ZKB PLATINUM ETF AA CHF ZKB PLATINUM ETF AA CHF
0VRB,ZKB PALLADIUM ETF AA CHF ZKB PALLADIUM ETF AA CHF
0IXG,GLOBAL X MSCI NORWAY ETF GLOBAL X MSCI NORWAY ETF
0JJC,ISHARES US HOME CONSTRUCTION ETF ISHARES US HOME CONSTRUCTION ETF
0Y43,UBS (IRL) ETF PLC - MSCI USA UCITS UBS (IRL) ETF PLC - MSCI USA UCITS ETF (
0KZC,SPDR S&P 500 ETF TRUST SPDR S&P 500 ETF TRUST
0AO6,RAIFFEISEN ETF - SOLID GOLD A USD RAIF SOLID GOLD H-CHF ETF
0GP0,ZKB GOLD ETF AA CHF ZKB GOLD ETF AAH GBP
0HD5,UBS ETF-FACTOR MSCIEMU TOTSHAREHOLD UBS ETF-FACTOR MSCIEMU TOTSHAREHOLDERYLD
0VR3,ZKB GOLD ETF AA CHF ZKB GOLD ETF AA CHF
0Y72,SOURCE JPX-NIKKEI 400 ETF SOURCE JPX-NIKKEI 400 ETF EUR HEDGED
0IER,ETFMG PRIME MOBILE PAYMENTS ETF ETFMG PRIME MOBILE PAYMENTS ETF
0VR7,ZKB SILVER ETF AA CHF ZKB SILVER ETF AA USD
0WB0,AMUNDI ETF MSCI WORLD EX EMU UCITS AMUNDI ETF MSCI WORLD EX EMU UCITS ETF -
0WA0,LYXOR UCITS ETF MSCI MALAYSIA C-EUR LYXOR UCITS ETF MSCI MALAYSIA C-EUR ETF
0W4D,HSBC MSCI WORLD UCITS ETF HSBC MSCI WORLD UCITS ETF (GER)
0EDG,THINK GLOBAL REAL ESTATE UCITS ETF THINK GLOBAL REAL ESTATE UCITS ETF
0E1M,"DOPRAVOPROJEKT, AS UBS ETF MSCI USA UCITS ETF (USD) AUKD"
0MTS,SOURCE STOXX EUROPE SMALL 200 ETF SOURCE STOXX EUROPE SMALL 200 ETF
0VR6,ZKB SILVER ETF AA CHF ZKB SILVER ETF AA EUR
0Y9I,UBS (IRL) ETF PLC - MSCI UK IMI SR UBS (IRL) ETF PLC - MSCI UK IMI SR U ETF
0L17,SPDR KBW BANK ETF SPDR S&P BANK ETF
0MLH,ISHARES CORE DAX UCITS ETF (DE) ISHARES CORE DAX UCITS ETF (DE)
0H9Z,COMSTAGE F.A.Z. INDEX UCITS ETF COMSTAGE F.A.Z. INDEX UCITS ETF
0HD3,UBS ETF-FACTOR MSCI EMU LOWVOLATILI UBS ETF-FACTOR MSCI EMU LOWVOLATILITY U
0HD7,UBS ETF-FACTOR MSCIEMU TOTSHAREHOLD UBS ETF-FACTOR MSCIEMU TOTSHAREHOLDERYLD
0JKV,ISHARES MSCI INDIA SMALL-CAP ETF ISHARES MSCI INDIA SMALL-CAP ETF
0GGX,XACT OBX BEAR (UCITS ETF) XACT OBX BEAR (UCITS ETF)
0MUD,LYXOR DAILY LEVDAX UCITS ETF LYXOR DAILY LEVDAX UCITS ETF
0HCJ,UBS ETF-MSCI UNITED KINGDOM UCITS E UBS ETF-MSCI UNITED KINGDOM UCITS ETF (G
0LKC,VANECK VECTORS GOLD MINERS ETF VANECK VECTORS GOLD MINERS ETF
0EDT,THINK SUSTAINABLE WORLD UCITS ETF THINK SUSTAINABLE WORLD UCITS ETF
0GGZ,XACT OBX BULL (UCITS ETF) XACT OBX BULL (UCITS ETF)
0ML4,ISHARES CORE SPI  (CH) ISHARES CORE SPI  ETF (CH) ETF
